,Wall time,Step,Value
129,1702346981.681358,5503,11.951935291290281
130,1702346984.1600647,5547,11.933184146881102
131,1702346986.5809634,5591,11.961517810821531
132,1702346988.976946,5633,11.883184909820555
133,1702346991.1935332,5674,11.775269031524656
134,1702346993.7918358,5718,11.773184299468992
135,1702346996.3074172,5762,11.80693483352661
136,1702346998.68247,5804,11.755268573760985
137,1702347001.1990488,5848,11.8031849861145
138,1702347003.770445,5892,11.769852161407469
139,1702347006.0328755,5933,11.665684223175047
140,1702347008.5673938,5977,11.658602237701414
141,1702347010.9683597,6021,11.621101856231688
142,1702347013.5317829,6065,11.614435672760008
143,1702347015.9327476,6109,11.616934299468992
144,1702347017.906144,6144,11.426517963409422
145,1702347020.4586036,6188,11.374018192291258
146,1702347022.8944528,6232,11.36651849746704
147,1702347025.3093724,6273,11.28151750564575
148,1702347027.9375775,6317,11.28235101699829
149,1702347030.7621267,6361,11.300684452056883
150,1702347033.4012957,6405,11.275269031524656
151,1702347036.255744,6449,11.375685214996336
152,1702347039.2148442,6493,11.37901735305786
153,1702347041.989558,6537,11.52860116958618
154,1702347044.7383611,6581,11.53151750564575
155,1702347047.4831753,6625,11.533184528350828
156,1702347050.431311,6669,11.515684604644774
157,1702347053.4183154,6713,11.602350711822508
158,1702347056.2229323,6757,11.689434528350828
159,1702347058.9986427,6801,11.690685749053953
160,1702347061.8700368,6845,11.689018726348875
161,1702347064.5012302,6889,11.71318483352661
162,1702347067.2410624,6933,11.686102390289305
163,1702347069.2912023,6968,11.552351474761961
164,1702347072.2841876,7012,11.630684375762938
165,1702347075.2851458,7056,11.633184909820555
166,1702347078.4754703,7100,11.638601779937742
167,1702347080.9940429,7143,11.603601932525633
168,1702347083.589359,7187,11.613184452056883
169,1702347086.093979,7231,11.726519107818602
170,1702347088.5298293,7275,11.772350788116453
171,1702347091.0344465,7319,11.745684146881102
172,1702347093.4643154,7363,11.815685749053953
173,1702347096.0556445,7407,11.825684070587156
174,1702347098.4835205,7451,11.791935443878172
175,1702347101.142623,7495,11.755684375762938
176,1702347103.5306327,7539,11.725267887115477
177,1702347106.0252843,7583,11.71901750564575
178,1702347108.4740913,7627,11.739435672760008
179,1702347110.9727328,7671,11.752352237701414
180,1702347113.4095757,7715,11.729851245880125
181,1702347115.8314722,7759,11.71026849746704
182,1702347118.3809426,7803,11.7406849861145
183,1702347120.774932,7847,11.789019107818602
184,1702347123.2745671,7891,11.805685520172117
185,1702347125.6964626,7935,11.8031849861145
186,1702347128.0824778,7976,11.749018192291258
187,1702347130.4565337,8020,11.769434452056883
188,1702347133.006003,8064,11.939434528350828
189,1702347135.4518209,8108,11.97276735305786
190,1702347137.9664054,8152,11.971935749053953
191,1702347140.3723574,8196,11.996935367584227
192,1702347142.8929205,8240,12.016518115997313
193,1702347145.358669,8284,12.020267963409422
194,1702347147.864285,8328,12.091934680938719
195,1702347150.3848507,8372,12.083601474761961
196,1702347152.8814971,8416,12.124018192291258
197,1702347155.2834592,8460,12.136934757232664
198,1702347157.8488753,8504,12.120268344879149
199,1702347160.5588093,8548,12.169851779937742
200,1702347163.1172462,8592,12.196934223175043
201,1702347165.4813356,8635,12.161934375762938
202,1702347168.0298092,8679,12.178600788116453
203,1702347170.4776192,8723,12.129850864410399
204,1702347172.6722746,8761,11.96318483352661
205,1702347175.0702496,8805,11.977768421173094
206,1702347177.4263656,8849,12.02485132217407
207,1702347179.9549048,8893,11.98401880264282
208,1702347182.5801206,8937,11.967352390289305
209,1702347184.9043443,8978,11.843601703643797
210,1702347187.2365413,9022,11.82776880264282
211,1702347189.7919905,9066,11.93860101699829
212,1702347192.177008,9110,11.924017429351805
213,1702347194.6557138,9154,11.946934223175047
214,1702347197.020801,9198,11.939018726348875
215,1702347199.5951858,9242,11.925684452056883
216,1702347202.0798726,9286,11.928600788116453
217,1702347204.563561,9329,11.877352237701414
218,1702347206.9764884,9373,11.852350711822508
219,1702347209.4551926,9417,11.856934070587156
220,1702347211.8063252,9459,11.801102161407469
221,1702347214.284036,9503,11.781935214996336
222,1702347216.454772,9543,11.668184757232664
223,1702347218.981318,9587,11.632351398468016
224,1702347221.694239,9631,11.601101398468016
225,1702347224.2606518,9675,11.62151765823364
226,1702347227.0493195,9719,11.614017963409422
227,1702347229.3715494,9759,11.506935596466063
228,1702347231.7864697,9803,11.540268421173094
229,1702347233.8914273,9841,11.498184680938719
230,1702347236.3830886,9885,11.503185749053953
231,1702347238.790036,9929,11.45651865005493
232,1702347241.320567,9973,11.466518878936766
233,1702347243.7275124,10017,11.44985246658325
234,1702347246.2600384,10061,11.557768344879149
235,1702347248.6560206,10105,11.52568483352661
236,1702347251.2353911,10149,11.52776765823364
237,1702347253.280547,10186,11.392767429351805
238,1702347255.8449793,10230,11.365267276763914
239,1702347258.3236716,10274,11.358185291290281
240,1702347260.860185,10318,11.341518878936766
241,1702347263.2870638,10362,11.326935291290281
242,1702347265.8066344,10406,11.399435520172117
243,1702347268.1448083,10450,11.426935672760008
244,1702347270.3145487,10488,11.280268192291258
245,1702347272.7404313,10532,11.316101551055906
246,1702347275.188241,10576,11.291935443878172
247,1702347277.6041565,10619,11.394434452056883
248,1702347280.0360184,10663,11.415684223175047
249,1702347282.561568,10707,11.421101093292235
250,1702347285.0063872,10751,11.376934528350828
251,1702347287.6076825,10795,11.43860101699829
252,1702347289.9657922,10839,11.439852237701414
253,1702347292.5949948,10883,11.444851398468016
254,1702347294.9800146,10927,11.631102085113524
255,1702347297.4965937,10971,11.61276865005493
256,1702347299.8576934,11015,11.633600711822508
257,1702347302.4599843,11059,11.59401750564575
258,1702347304.8529785,11103,11.606518268585203
259,1702347307.390488,11147,11.600267887115477
260,1702347309.5642133,11188,11.54651880264282
261,1702347312.089764,11232,11.51901865005493
262,1702347314.462821,11276,11.629850864410399
263,1702347316.9614613,11320,11.618185520172117
264,1702347319.4232233,11364,11.61651849746704
265,1702347321.9318297,11408,11.596102237701414
266,1702347324.337778,11452,11.609434604644774
267,1702347326.8423984,11496,11.624851703643797
268,1702347329.2144604,11540,11.628601551055906
269,1702347331.743997,11584,11.76235246658325
270,1702347334.3393123,11628,11.808184146881102
271,1702347336.7960913,11672,11.863184452056883
272,1702347339.2668235,11716,11.862350940704344
273,1702347341.6458638,11760,11.856934070587156
274,1702347344.1813805,11804,11.854435443878172
275,1702347346.5723786,11848,11.894852161407469
276,1702347349.1985905,11892,11.886518955230711
277,1702347351.5646734,11936,11.975267887115477
278,1702347354.100189,11980,11.986517429351805
279,1702347356.577898,12024,11.979017734527586
280,1702347359.0296946,12068,12.003185749053953
281,1702347361.4834838,12112,12.00110101699829
282,1702347364.0100296,12156,12.037352085113524
283,1702347366.4349148,12200,12.023602008819578
284,1702347368.9704328,12244,12.024017810821531
285,1702347371.3106005,12288,12.086517810821531
286,1702347373.85409,12332,12.086935520172117
287,1702347376.2550554,12376,12.067350864410399
288,1702347378.820471,12420,12.089851856231688
289,1702347381.282234,12464,12.093183994293211
290,1702347383.9104395,12508,12.141518115997313
291,1702347386.345292,12552,12.131935596466063
292,1702347388.8678515,12596,12.114017963409422
293,1702347391.2638335,12640,12.100685596466063
294,1702347393.8691158,12684,12.118185520172117
295,1702347396.2521417,12728,12.101934909820555
296,1702347398.878355,12772,12.051517963409422
297,1702347401.6730044,12816,12.077351093292235
298,1702347404.3181517,12860,12.100267887115477
299,1702347406.7440348,12904,12.084017276763914
300,1702347409.259617,12948,12.076101779937742
301,1702347411.700452,12992,12.07860231399536
302,1702347414.2867954,13036,12.049017429351805
303,1702347416.731615,13080,12.006935596466063
304,1702347419.2202885,13124,12.03526735305786
305,1702347421.7029817,13168,12.05610132217407
306,1702347424.238496,13212,12.069851398468016
307,1702347426.7580647,13256,12.061933994293211
308,1702347429.2108574,13299,12.024435520172117
309,1702347431.7224548,13343,11.986101627349852
310,1702347434.1493337,13387,11.988184452056883
311,1702347436.6399982,13431,11.974852085113524
312,1702347439.0459473,13475,11.999018192291258
313,1702347441.553559,13519,12.001518726348875
314,1702347443.9794414,13563,12.00110101699829
315,1702347447.382054,13607,11.975685596466063
316,1702347449.8926528,13651,11.986517429351805
317,1702347452.4221897,13695,11.996101856231688
318,1702347454.7872746,13739,11.992767810821531
319,1702347457.3596678,13783,12.003601551055906
320,1702347459.8174431,13827,12.034435749053953
321,1702347462.1396725,13867,11.954018115997313
322,1702347464.59147,13911,11.934435367584227
323,1702347467.1429307,13955,11.940685749053953
324,1702347469.5478878,13999,11.940685749053953
325,1702347472.534889,14043,11.961102008819578
326,1702347475.037515,14087,11.975685596466063
327,1702347477.6109033,14131,12.02568483352661
328,1702347480.0686812,14175,12.075684070587156
329,1702347482.7616682,14219,12.030268192291258
330,1702347485.2044954,14263,12.017767429351805
331,1702347486.9197547,14293,11.719435214996336
332,1702347489.441317,14337,11.717352390289305
333,1702347491.8990932,14381,11.740267276763914
334,1702347494.250229,14425,11.768600940704344
335,1702347496.8445456,14469,11.775269031524656
336,1702347499.334214,14513,11.794851779937742
337,1702347501.9654095,14557,11.83818483352661
338,1702347504.2577395,14599,11.770267963409422
339,1702347506.7523916,14643,11.761518955230711
340,1702347509.1364176,14687,11.784851551055906
341,1702347511.649007,14731,11.764435291290281
342,1702347514.0778804,14775,11.756935596466063
343,1702347516.5286796,14819,11.723600864410399
344,1702347518.9804747,14863,11.68485116958618
345,1702347521.5299451,14907,11.68485116958618
346,1702347524.0744307,14951,11.776518344879149
347,1702347526.4435031,14995,11.764851093292235
348,1702347529.010912,15039,11.770685672760008
349,1702347531.4019127,15083,11.788601398468016
350,1702347533.9952333,15127,11.788185596466063
351,1702347536.3712835,15171,11.729851245880125
352,1702347538.9357026,15215,11.718601703643797
353,1702347541.4333467,15259,11.677351474761961
354,1702347543.9608877,15303,11.719435214996336
355,1702347546.4017198,15347,11.71610116958618
356,1702347548.8704605,15391,11.959019184112547
357,1702347551.3033175,15435,11.987350940704344
358,1702347553.7999642,15479,11.985268115997313
359,1702347556.1780071,15523,12.014851093292235
360,1702347558.5849524,15564,11.958601474761961
361,1702347561.0865822,15608,11.983185291290281
362,1702347563.519441,15652,11.946934223175047
363,1702347565.91044,15696,12.030268192291258
364,1702347568.554593,15740,12.054434299468992
365,1702347570.976489,15784,12.071100711822508
366,1702347573.6585145,15828,12.083185672760008
367,1702347576.6475124,15872,12.076101779937742
368,1702347579.8607602,15916,12.103184223175047
369,1702347582.911552,15960,12.134851932525633
370,1702347586.1297834,16004,12.131102085113524
371,1702347589.365956,16048,12.140684604644774
372,1702347592.292164,16092,12.128601551055906
373,1702347595.3429554,16136,12.124851703643797
374,1702347598.287103,16180,12.074434757232664
375,1702347601.5292556,16224,12.065685749053953
376,1702347604.559116,16268,12.09485101699829
377,1702347607.5172193,16312,12.073185443878172
378,1702347610.5550532,16356,12.056519031524656
379,1702347613.5430546,16400,12.061102390289305
380,1702347616.7762356,16444,12.047768115997313
381,1702347619.736333,16488,12.061102390289305
382,1702347622.739282,16532,12.049850940704344
383,1702347625.551871,16576,12.090685367584227
384,1702347627.8840675,16620,12.051935672760008
385,1702347630.3847003,16664,12.142351627349852
386,1702347632.7467964,16708,12.144852161407469
387,1702347635.261382,16752,12.157768726348875
388,1702347637.1650114,16786,11.908184528350828
389,1702347639.721458,16830,11.901518344879149
390,1702347642.2499962,16874,11.850267887115477
391,1702347644.647973,16918,11.833185672760008
392,1702347647.1386387,16962,11.8344349861145
393,1702347649.5964148,17006,11.842352390289305
394,1702347652.1389067,17050,11.818602085113524
395,1702347654.5448568,17094,11.83818483352661
396,1702347657.026559,17138,11.830267429351805
397,1702347659.4653912,17182,11.860268115997313
398,1702347661.8922706,17224,11.80026865005493
